customer_id,region_id,is_prime,signup_date
1,3,0,2021-02-21
2,3,1,2022-05-17
3,1,0,2021-07-29
4,3,0,2024-04-24
5,2,0,2021-03-03
6,1,0,2022-04-22
7,3,0,2024-02-24
8,1,1,2022-03-28
9,2,1,2021-01-14
10,1,1,2022-11-28
11,2,0,2022-03-17
12,2,0,2021-07-09
13,2,0,2023-01-06
14,2,1,2021-03-30
15,3,1,2024-01-04
16,1,1,2021-06-11
17,3,1,2024-07-11
18,3,1,2024-03-28
19,1,0,2021-04-04
20,3,0,2022-08-16
21,1,0,2021-07-26
22,2,1,2023-07-18
23,3,1,2021-11-30
24,2,1,2022-03-06
25,3,1,2024-12-08
26,3,0,2024-06-01
27,3,0,2023-12-30
28,3,0,2021-12-01
29,2,1,2022-07-07
30,3,0,2024-11-03
31,2,0,2022-04-15
32,1,1,2023-04-02
33,2,0,2022-03-09
34,3,1,2022-03-12
35,3,1,2023-03-22
36,3,1,2021-10-20
37,2,0,2022-05-21
38,3,1,2024-04-12
39,2,1,2023-01-12
40,1,0,2023-11-10
41,2,0,2021-04-07
42,1,0,2024-07-09
43,1,1,2024-05-06
44,1,1,2023-02-21
45,3,1,2023-12-20
46,2,0,2024-10-25
47,3,0,2024-10-28
48,3,1,2024-08-05
49,2,0,2022-08-25
50,2,0,2023-07-19
51,1,1,2023-10-23
52,1,0,2024-07-04
53,2,0,2021-11-10
54,2,0,2024-01-10
55,3,0,2024-05-11
56,2,1,2021-02-09
57,1,1,2022-09-22
58,1,0,2022-05-09
59,3,0,2021-06-25
60,3,1,2021-05-22
61,3,0,2021-09-20
62,3,1,2024-01-31
63,1,1,2023-12-17
64,3,1,2022-03-10
65,3,0,2024-12-31
66,2,1,2024-10-07
67,3,1,2023-06-17
68,3,1,2021-09-05
69,1,0,2021-05-12
70,2,0,2024-04-19
71,3,0,2024-04-20
72,1,0,2021-05-26
73,3,0,2022-04-14
74,1,0,2022-11-08
75,1,0,2022-07-25
76,3,1,2022-03-15
77,3,0,2024-03-15
78,3,1,2022-05-13
79,2,1,2022-01-25
80,1,0,2024-09-11
81,2,1,2023-05-18
82,2,1,2021-04-21
83,3,0,2021-05-05
84,2,1,2021-08-12
85,1,0,2022-01-25
86,3,1,2021-10-15
87,2,0,2022-07-25
88,2,0,2021-06-04
89,2,0,2021-04-14
90,3,0,2021-07-11
91,1,0,2023-04-13
92,2,1,2022-03-14
93,2,0,2021-12-04
94,2,0,2023-03-11
95,2,1,2022-08-08
96,2,1,2021-11-14
97,1,1,2022-03-22
98,1,0,2022-10-05
99,1,0,2024-04-11
100,2,0,2021-04-27
101,3,0,2022-01-16
102,1,0,2024-10-14
103,1,1,2021-09-03
104,3,0,2024-03-31
105,3,0,2024-06-22
106,1,1,2024-09-08
107,3,1,2022-06-19
108,1,1,2022-05-04
109,2,1,2021-09-26
110,3,1,2023-07-26
111,2,0,2021-01-20
112,2,0,2021-05-31
113,3,0,2023-11-03
114,2,0,2022-12-16
115,1,0,2023-01-27
116,2,0,2023-06-17
117,3,1,2024-06-06
118,3,0,2024-09-29
119,3,1,2024-09-20
120,1,0,2022-06-26
121,1,0,2024-02-08
122,1,1,2022-08-01
123,3,0,2022-12-04
124,1,1,2023-11-02
125,2,1,2021-04-15
126,1,1,2022-07-21
127,1,0,2022-11-15
128,1,1,2021-11-27
129,3,1,2024-02-04
130,3,1,2024-02-23
131,1,0,2021-06-04
132,3,0,2024-01-23
133,1,1,2024-04-07
134,3,0,2023-05-31
135,1,0,2022-09-24
136,2,0,2023-01-03
137,1,0,2024-09-27
138,1,1,2024-02-21
139,2,0,2022-04-30
140,1,0,2023-04-25
141,1,0,2022-11-12
142,2,0,2022-07-01
143,1,0,2023-02-23
144,1,1,2022-04-01
145,1,1,2022-12-18
146,2,0,2022-04-02
147,1,0,2023-03-28
148,2,1,2021-05-23
149,2,1,2024-08-06
150,3,1,2024-10-23
151,3,1,2021-02-26
152,1,1,2022-01-01
153,3,1,2021-03-20
154,1,1,2022-12-09
155,3,1,2023-06-13
156,3,0,2023-02-28
157,3,0,2022-06-06
158,1,1,2021-01-04
159,3,0,2023-01-16
160,2,0,2024-09-22
161,2,1,2024-09-20
162,1,1,2023-11-05
163,2,1,2022-10-31
164,2,1,2024-02-10
165,1,0,2023-05-12
166,3,1,2024-10-19
167,3,0,2024-06-14
168,3,1,2023-04-12
169,3,0,2022-09-15
170,2,0,2023-05-31
171,3,1,2023-08-11
172,2,1,2024-10-15
173,1,1,2021-12-14
174,3,0,2022-08-05
175,3,1,2021-07-11
176,1,1,2022-04-06
177,1,0,2021-02-20
178,1,0,2023-09-01
179,3,0,2023-07-22
180,2,0,2024-11-27
181,2,1,2023-03-30
182,1,0,2024-09-05
183,3,0,2021-08-07
184,2,0,2021-12-27
185,3,1,2021-04-13
186,3,0,2021-09-06
187,2,0,2023-08-10
188,3,1,2023-06-26
189,3,1,2024-01-28
190,2,0,2023-08-31
191,2,1,2022-05-22
192,3,1,2023-12-04
193,2,0,2022-07-17
194,2,0,2022-08-09
195,1,1,2022-11-19
196,2,0,2021-10-11
197,1,0,2023-02-24
198,3,0,2024-12-17
199,1,0,2023-04-30
200,2,1,2024-01-17
201,2,1,2021-05-08
202,1,1,2023-03-09
203,3,0,2024-03-25
204,2,1,2021-01-13
205,2,1,2023-03-10
206,2,0,2023-09-27
207,1,1,2023-06-12
208,2,0,2023-03-08
209,2,1,2021-12-05
210,2,0,2024-06-28
211,3,0,2023-03-18
212,3,0,2021-06-21
213,3,1,2021-10-05
214,2,0,2021-04-13
215,2,1,2022-11-02
216,1,1,2022-11-01
217,2,1,2022-07-24
218,2,1,2021-06-17
219,2,0,2024-01-10
220,1,1,2022-04-05
221,3,0,2024-08-27
222,1,0,2022-05-22
223,1,0,2024-06-26
224,1,0,2021-09-16
225,2,0,2024-03-01
226,1,1,2024-12-03
227,2,1,2021-12-10
228,3,0,2021-12-02
229,2,0,2024-03-31
230,1,1,2024-03-25
231,3,1,2023-03-24
232,3,0,2021-06-05
233,3,0,2021-07-28
234,3,1,2024-11-02
235,3,0,2024-03-05
236,1,1,2023-12-28
237,2,1,2021-05-22
238,3,1,2021-01-26
239,2,1,2021-08-05
240,2,1,2024-07-25
241,2,0,2023-06-11
242,1,1,2024-06-15
243,3,1,2023-08-11
244,2,1,2022-10-23
245,1,0,2022-07-26
246,2,0,2023-08-10
247,3,1,2022-11-20
248,1,1,2022-10-28
249,1,1,2022-03-11
250,2,1,2022-11-29
251,2,1,2024-02-13
252,1,0,2021-06-25
253,1,1,2023-09-28
254,3,0,2024-11-15
255,2,1,2023-07-07
256,1,0,2022-08-26
257,1,1,2024-11-17
258,1,1,2024-09-21
259,3,1,2023-08-28
260,3,1,2023-05-22
261,3,1,2022-12-22
262,3,1,2022-07-09
263,2,1,2022-04-18
264,1,0,2022-10-09
265,1,0,2022-01-28
266,1,1,2022-07-21
267,3,1,2021-07-25
268,1,1,2022-04-11
269,2,0,2022-09-12
270,1,0,2022-07-16
271,1,0,2024-02-08
272,2,0,2024-07-30
273,2,0,2021-01-26
274,3,1,2023-08-20
275,2,1,2022-11-29
276,1,0,2022-06-02
277,2,0,2021-05-14
278,2,1,2021-06-01
279,3,0,2021-11-07
280,1,1,2021-06-24
281,1,0,2024-02-17
282,2,0,2023-12-07
283,2,1,2023-06-26
284,2,1,2022-09-18
