order_item_id,order_id,product_id,quantity
1,2728,780,4
2,9819,841,4
3,6660,246,4
4,9731,804,3
5,8492,96,4
6,7269,845,3
7,4467,625,2
8,5098,398,4
9,1447,314,3
10,6292,836,2
11,9324,632,3
12,4085,95,3
13,5412,828,4
14,6609,319,2
15,3212,630,3
16,168,965,2
17,6208,812,1
18,9102,962,4
19,4396,785,4
20,6398,429,1
21,1995,678,2
22,2280,591,2
23,3982,681,2
24,4363,393,4
25,2251,191,1
26,3712,479,2
27,3775,498,3
28,873,397,1
29,3339,528,4
30,8060,942,3
31,8534,987,3
32,8123,514,2
33,844,951,3
34,5402,336,4
35,5334,692,4
36,6544,668,3
37,7543,515,4
38,9202,694,1
39,887,908,3
40,5527,69,2
41,6482,653,4
42,6953,268,3
43,9858,271,2
44,6787,938,2
45,2714,479,1
46,6024,421,1
47,4184,986,4
48,5819,198,3
49,4149,182,1
50,1007,299,2
51,1439,702,4
52,7260,257,4
53,1635,887,3
54,2250,52,2
55,5338,85,1
56,9366,995,3
57,356,824,3
58,6699,384,1
59,3858,230,3
60,8968,328,1
61,8904,90,3
62,3073,935,2
63,3045,727,4
64,6936,421,2
65,3051,875,4
66,9684,709,1
67,4574,132,2
68,3350,562,1
69,26,412,1
70,8281,631,1
71,8046,45,1
72,5958,155,2
73,9882,84,3
74,5728,471,3
75,9509,852,4
76,5929,633,1
77,5469,868,2
78,7751,20,2
79,5757,632,4
80,1568,981,1
81,4751,221,3
82,8255,842,2
83,734,320,1
84,7930,491,3
85,2024,227,1
86,7015,79,1
87,9755,770,2
88,2293,112,4
89,9008,602,4
90,4711,348,2
91,7536,113,3
92,7324,245,2
93,717,291,2
94,1355,625,2
95,7266,289,2
96,1426,184,4
97,6963,422,3
98,6524,877,1
99,2876,227,2
100,6582,89,4
101,5830,348,1
102,6858,782,2
103,4105,465,3
104,5436,347,2
105,6898,468,2
106,888,691,2
107,6639,645,4
108,942,148,4
109,5146,116,1
110,127,911,3
111,7154,564,4
112,683,437,1
113,5230,474,1
114,1164,995,2
115,1364,715,1
116,6277,465,2
117,2953,996,2
118,5980,819,2
119,9411,823,2
120,3791,18,3
121,4467,543,3
122,9548,718,3
123,1342,892,4
124,5421,485,1
125,7248,596,3
126,3086,149,1
127,8651,233,1
128,2424,278,2
129,6488,700,3
130,6755,768,3
131,5422,757,1
132,9397,26,2
133,566,312,1
134,1062,331,3
135,8920,517,1
136,5179,101,1
137,9942,227,2
138,4661,401,3
139,4061,230,4
140,3328,783,2
141,107,324,4
142,6035,717,3
143,3171,477,1
144,48,592,3
145,1959,416,3
146,3823,462,4
147,541,656,2
148,1572,806,4
149,176,849,3
150,7223,63,1
151,3014,350,2
152,9041,921,2
153,3477,943,4
154,1517,460,3
155,6238,542,1
156,7439,388,4
157,6144,38,3
158,9901,97,4
159,3879,992,2
160,501,782,1
161,938,703,3
162,5949,914,1
163,6201,622,2
164,4053,735,1
165,7998,603,2
166,6157,295,4
167,458,532,3
168,4915,45,4
169,5741,722,3
170,5816,848,2
171,5474,585,2
172,6040,479,1
173,8151,873,4
174,6041,7,3
175,6422,185,1
176,7684,551,3
177,6970,151,2
178,7376,114,2
179,6729,27,2
180,6276,807,1
181,1988,575,4
182,8398,882,1
183,1926,28,2
184,7144,859,1
185,9628,665,1
186,9660,286,1
187,9106,69,4
188,803,51,2
189,2228,512,4
190,2754,541,1
191,5648,952,4
192,7618,844,4
193,8123,804,1
194,1387,285,4
195,2198,715,4
196,8299,133,1
197,1724,577,3
198,6993,664,4
199,5013,445,1
200,8043,461,2
201,5210,985,3
202,6396,713,1
203,9714,838,2
204,2447,38,3
205,1969,995,2
206,6036,411,2
207,9322,957,4
208,4626,749,2
209,5763,46,1
210,8127,366,1
211,6954,479,3
212,8601,427,4
213,3099,372,1
214,9028,134,1
215,8030,745,4
216,4295,522,4
217,4623,512,4
218,9949,245,3
219,5458,671,3
220,3542,550,2
221,6109,396,4
222,2035,182,3
223,2370,792,1
224,1315,627,2
225,1009,714,4
226,4165,437,1
227,2437,391,4
228,1834,592,1
229,9316,431,2
230,3455,379,2
231,616,218,1
232,4020,784,4
233,9123,222,1
234,5259,657,4
235,8690,136,4
236,6127,238,2
237,5398,864,3
238,2916,434,2
239,873,140,3
240,8993,980,4
241,4155,492,1
242,1864,191,2
243,6607,606,2
244,4758,764,3
245,2003,463,2
246,9349,997,2
247,2090,141,2
248,1356,452,4
249,8368,442,3
250,133,813,2
251,9301,667,3
252,7199,383,1
253,5182,334,4
254,8110,743,4
255,9217,81,4
256,4926,209,1
257,2057,686,3
258,3469,310,3
259,3382,359,2
260,8240,948,1
261,1126,707,3
262,8110,361,1
263,9628,145,4
264,2588,52,3
265,8448,36,2
266,6235,606,3
267,7385,660,3
268,6844,191,3
269,3229,205,1
270,6668,549,4
271,7547,1000,1
272,8534,550,3
273,5317,17,4
274,9382,778,3
275,3733,793,3
276,4359,822,1
277,991,805,1
278,257,308,2
279,7976,799,4
280,4268,638,2
281,5715,286,2
282,1880,943,1
283,1750,872,1
284,8273,559,4
285,1862,220,2
286,9605,252,3
287,7345,995,3
288,3443,542,3
289,8238,910,1
290,1651,92,3
291,8184,39,2
292,4909,470,3
293,6482,55,1
294,6751,294,2
295,6298,192,3
296,5478,931,3
297,4651,427,2
298,54,934,2
299,2023,851,2
300,5599,727,3
301,6380,638,2
302,2361,680,2
303,9333,292,1
304,8032,857,1
305,7288,253,3
306,3754,283,4
307,6276,935,1
308,5580,854,3
309,7738,702,1
310,830,428,1
311,4094,949,1
312,844,453,3
313,1776,401,2
314,5527,137,1
315,4256,648,1
316,2906,1,2
317,2711,299,1
318,7989,347,4
319,1104,393,1
320,9952,346,4
321,4147,681,1
322,8664,750,3
323,4421,125,2
324,3578,691,2
325,7123,402,3
326,203,144,3
327,9786,820,1
328,5387,927,4
329,5235,566,1
330,7197,663,1
331,6115,745,4
332,8992,175,1
333,5394,182,3
334,9710,183,2
335,1404,834,1
336,1682,667,3
337,2622,585,3
338,8254,116,3
339,1805,292,1
340,1378,222,3
341,6501,923,2
342,9511,124,3
343,2760,423,3
344,2521,6,1
345,2659,841,1
346,1771,462,3
347,704,156,1
348,8292,663,3
349,5034,447,4
350,6607,373,3
351,8909,76,2
352,7592,192,1
353,4052,678,4
354,7489,909,3
355,9940,975,1
356,6822,320,3
357,9449,127,3
358,3136,815,2
359,1863,574,1
360,1559,101,2
361,1010,530,3
362,2252,223,1
363,5887,413,2
364,3864,297,2
365,8899,257,1
366,2055,152,3
367,6465,179,4
368,7809,854,1
369,3977,800,2
370,165,143,3
371,4046,960,3
372,2604,248,4
373,7226,820,1
374,7344,486,4
375,486,319,2
376,3243,668,4
377,6990,726,4
378,7697,310,1
379,8833,718,4
380,7976,884,2
381,1230,41,4
382,5539,183,3
383,849,21,2
384,3583,716,1
385,6069,875,1
386,306,705,4
387,2370,291,4
388,2254,353,3
389,2996,443,3
390,4741,907,1
391,7158,763,2
392,9725,183,4
393,7118,771,2
394,9518,565,3
395,3036,225,1
396,9034,174,2
397,6248,664,2
398,2727,796,4
399,9000,667,4
400,8454,22,4
401,651,281,2
402,3806,361,4
403,3785,81,3
404,9484,241,1
405,1322,743,4
406,9480,608,2
407,1326,667,2
408,5223,256,3
409,7661,738,1
410,5672,8,4
411,55,508,4
412,6144,7,3
413,9279,290,4
414,3242,802,3
415,7473,387,4
416,6793,129,1
417,3895,560,1
418,5331,934,3
419,1196,626,3
420,9052,287,3
421,4554,767,2
422,2669,922,3
