order_id,customer_id,order_date,order_status
1,961,2022-09-30,RETURNED
2,1996,2024-03-25,DELIVERED
3,1461,2024-02-25,CANCELLED
4,1508,2023-06-09,DELIVERED
5,1141,2022-05-01,DELIVERED
6,1907,2023-04-26,DELIVERED
7,726,2022-04-04,DELIVERED
8,1034,2024-02-20,DELIVERED
9,809,2024-01-30,DELIVERED
10,1828,2022-03-26,DELIVERED
11,534,2022-12-14,DELIVERED
12,1906,2023-11-26,RETURNED
13,271,2022-07-03,DELIVERED
14,1087,2024-06-05,DELIVERED
15,240,2023-10-04,DELIVERED
16,262,2024-10-19,RETURNED
17,1710,2023-07-30,CANCELLED
18,1897,2024-05-30,DELIVERED
19,1796,2023-06-24,DELIVERED
20,1560,2023-06-25,DELIVERED
21,893,2022-12-04,DELIVERED
22,1007,2022-11-06,DELIVERED
23,1891,2024-06-20,DELIVERED
24,305,2022-04-22,DELIVERED
25,74,2024-08-21,DELIVERED
26,1446,2024-08-14,DELIVERED
27,1834,2024-10-10,DELIVERED
28,731,2024-09-20,DELIVERED
29,231,2022-10-31,DELIVERED
30,192,2023-02-22,RETURNED
31,370,2022-12-11,CANCELLED
32,1685,2023-07-13,DELIVERED
33,1359,2023-03-11,DELIVERED
34,1990,2022-01-09,DELIVERED
35,1169,2023-01-05,DELIVERED
36,158,2023-05-20,CANCELLED
37,1387,2022-07-13,RETURNED
38,54,2023-08-06,DELIVERED
39,1394,2022-09-07,DELIVERED
40,1210,2022-08-06,CANCELLED
41,315,2022-03-01,DELIVERED
42,1702,2024-09-09,DELIVERED
43,1957,2023-07-06,DELIVERED
44,12,2023-11-06,RETURNED
45,1344,2024-07-16,DELIVERED
46,1499,2022-09-22,DELIVERED
47,100,2023-08-03,DELIVERED
48,114,2022-05-25,DELIVERED
49,1234,2024-02-21,DELIVERED
50,523,2022-12-31,DELIVERED
51,1579,2024-03-27,DELIVERED
52,1746,2023-03-03,DELIVERED
53,1597,2024-04-04,DELIVERED
54,1542,2022-11-12,DELIVERED
55,1006,2024-06-04,CANCELLED
56,1888,2023-09-28,RETURNED
57,1236,2022-09-26,DELIVERED
58,197,2024-01-23,DELIVERED
59,1003,2024-07-01,RETURNED
60,976,2023-07-04,DELIVERED
61,867,2022-07-04,CANCELLED
62,1661,2024-01-25,DELIVERED
63,890,2024-05-22,DELIVERED
64,1052,2023-12-01,RETURNED
65,1386,2023-04-05,DELIVERED
66,1462,2022-11-14,RETURNED
67,1080,2024-12-10,DELIVERED
68,959,2024-06-14,DELIVERED
69,1642,2024-09-05,DELIVERED
70,262,2023-09-08,CANCELLED
71,1072,2024-05-25,DELIVERED
72,98,2022-06-06,RETURNED
73,1052,2022-08-09,DELIVERED
74,846,2022-07-13,DELIVERED
75,1476,2023-06-03,DELIVERED
76,1200,2022-06-17,CANCELLED
77,34,2022-08-22,CANCELLED
78,948,2023-01-03,CANCELLED
79,1727,2024-03-15,DELIVERED
80,853,2023-09-02,DELIVERED
81,1483,2024-07-20,CANCELLED
82,922,2023-06-27,DELIVERED
83,1881,2023-01-19,DELIVERED
84,161,2023-06-16,RETURNED
85,218,2024-06-07,DELIVERED
86,12,2024-03-19,DELIVERED
87,352,2024-09-04,DELIVERED
88,830,2024-09-23,DELIVERED
89,1666,2024-01-09,DELIVERED
90,1973,2024-03-19,CANCELLED
91,180,2022-09-14,DELIVERED
92,391,2022-08-18,CANCELLED
93,1426,2023-01-21,RETURNED
94,429,2024-09-12,DELIVERED
95,1331,2023-05-11,DELIVERED
96,1283,2023-01-26,DELIVERED
97,1577,2024-08-07,DELIVERED
98,865,2022-02-14,DELIVERED
99,1849,2022-11-09,CANCELLED
100,912,2024-09-20,DELIVERED
101,1761,2024-07-09,DELIVERED
102,413,2023-08-27,DELIVERED
103,1708,2024-03-13,DELIVERED
104,17,2022-07-30,DELIVERED
105,1461,2024-06-03,RETURNED
106,1738,2024-10-12,CANCELLED
107,1221,2023-08-19,DELIVERED
108,819,2024-09-22,DELIVERED
109,1485,2024-09-26,DELIVERED
110,125,2024-12-17,DELIVERED
111,1181,2023-10-09,DELIVERED
112,549,2024-05-04,RETURNED
113,240,2024-10-10,DELIVERED
114,1324,2023-12-12,DELIVERED
115,894,2022-02-12,DELIVERED
116,1488,2023-01-29,DELIVERED
117,898,2023-04-21,DELIVERED
118,1204,2023-11-26,RETURNED
119,1748,2024-08-17,DELIVERED
120,601,2024-03-10,RETURNED
121,1707,2024-01-08,CANCELLED
122,1638,2022-11-28,DELIVERED
123,579,2022-06-26,DELIVERED
124,265,2022-12-21,DELIVERED
125,1241,2024-10-04,DELIVERED
126,852,2024-10-08,DELIVERED
127,429,2022-04-07,RETURNED
128,735,2023-06-19,DELIVERED
129,325,2022-12-24,CANCELLED
130,1832,2024-10-28,DELIVERED
131,131,2023-11-23,DELIVERED
132,1265,2023-04-10,DELIVERED
133,459,2024-09-23,DELIVERED
134,697,2023-12-29,CANCELLED
135,1578,2023-07-02,RETURNED
136,1748,2024-11-21,DELIVERED
137,214,2022-04-14,RETURNED
138,897,2024-07-25,RETURNED
139,1548,2022-08-16,RETURNED
140,1601,2022-07-28,CANCELLED
141,86,2024-11-04,DELIVERED
142,1291,2022-08-30,RETURNED
143,1866,2024-01-11,DELIVERED
144,599,2024-06-23,CANCELLED
145,1021,2022-07-23,DELIVERED
146,745,2023-11-17,CANCELLED
147,252,2023-02-18,DELIVERED
148,852,2022-01-14,DELIVERED
149,1658,2024-08-28,DELIVERED
150,1035,2022-12-17,DELIVERED
151,763,2024-04-29,DELIVERED
152,1362,2023-05-18,DELIVERED
